driverId,week,hours-logged,miles-logged
16,5,60,3200
21,47,72,1300
105,15,76,1300
55,29,59,1600
92,48,72,1300
109,52,73,1900
60,25,58,1800
101,29,70,200
86,46,65,400
109,2,54,3800
66,51,56,3700
71,46,70,2900
13,10,50,3200
40,7,75,200
29,33,52,2000
19,50,62,1500
79,25,75,300
52,43,75,2300
49,48,70,600
83,21,50,1500
78,32,79,2300
23,8,68,3700
12,21,66,3800
91,45,63,3000
16,26,67,1500
81,52,61,900
83,14,67,3800
39,25,71,1900
100,35,57,1400
50,40,68,2700
89,14,64,1500
68,9,65,3900
86,29,66,1600
72,36,60,2300
67,6,51,3000
101,36,52,1600
97,50,60,100
95,41,53,1200
71,19,53,2500
35,44,54,3600
73,1,65,3800
74,52,73,2900
65,8,59,900
82,28,69,1300
83,33,58,1100
18,25,72,200
44,43,52,1100
75,43,74,1700
102,24,55,1200
24,34,56,1600
107,27,79,400
88,5,50,1500
106,49,73,2600
61,31,60,700
85,12,65,3000
82,1,73,2800
68,12,70,800
58,9,51,1400
78,36,70,2900
37,25,52,600
35,48,68,3600
13,32,66,1200
10,3,71,4000
53,22,62,1800
42,2,64,1200
105,38,62,2500
88,11,71,1700
18,35,51,1500
46,1,72,4000
72,25,76,4000
30,48,80,3900
30,33,67,800
79,49,52,2000
29,22,58,2400
58,10,56,1300
63,23,65,900
82,3,71,1500
45,25,75,0
35,47,75,1700
37,11,56,3100
108,45,68,2700
82,18,61,1900
53,41,54,1000
109,48,79,2900
78,29,78,1000
23,48,57,400
37,14,66,2600
22,3,61,4000
20,49,73,2500
68,16,68,500
91,2,61,200
25,11,76,1800
53,42,74,2100
97,27,61,2800
103,36,60,2200
83,28,50,100
67,38,52,1600
69,21,64,800
87,2,60,3500
39,35,72,1700
78,19,78,3900
44,18,72,3300
76,13,65,2100
17,44,61,3300
67,20,53,3500
16,4,50,2800
21,7,64,3100
49,3,80,2900
81,4,54,4000
64,5,74,100
54,11,67,3800
27,22,56,1200
32,5,68,2900
103,44,67,3200
23,19,55,2600
52,32,76,4000
47,43,51,2500
89,23,63,1800
70,14,74,2300
88,26,61,3900
28,32,67,800
108,18,60,4000
34,49,54,1200
30,21,68,1900
84,13,52,2300
82,4,67,3500
44,38,74,1900
80,41,64,3000
92,39,63,3800
42,10,52,1200
66,45,58,2100
49,27,71,800
73,28,60,1300
66,35,80,1600
87,26,51,900
74,30,68,1100
13,21,70,800
95,49,75,1000
10,32,74,3900
52,13,54,2300
96,26,53,1800
13,40,56,2000
11,34,76,3800
89,1,56,4000
68,52,57,300
77,1,68,1300
48,13,77,100
25,34,64,4000
76,29,64,200
95,17,72,1900
106,10,69,1100
81,35,60,1900
25,32,58,2800
33,14,50,2700
48,3,70,1000
103,20,66,500
28,24,59,3900
25,36,59,3300
52,47,60,1800
89,8,74,500
32,28,56,3700
19,36,66,1100
12,36,73,400
51,10,80,300
107,23,56,2900
86,28,69,100
63,31,56,1400
47,41,59,100
66,35,50,1700
98,27,59,3600
107,17,77,200
103,2,50,2000
51,41,61,3700
31,21,79,3900
82,34,66,4000
98,8,79,2500
64,22,54,2300
17,14,55,2300
47,6,63,1400
96,45,59,1600
16,29,72,3000
41,15,57,3300
51,15,69,2000
84,46,58,2500
62,43,70,1900
108,19,66,3900
18,8,56,3700
85,6,67,3400
71,30,52,2000
14,12,73,0
84,43,72,400
29,17,79,3400
106,43,57,1400
109,33,56,2800
23,17,61,3200
23,35,63,2100
44,8,65,400
89,27,64,500
23,13,74,1000
91,10,66,1300
46,43,57,500
87,43,52,100
65,21,76,100
46,21,57,2300
98,33,73,3200
30,24,58,3700
86,4,62,0
17,42,77,1800
109,51,61,1900
62,27,76,3400
93,29,52,2100
84,27,71,1400
103,6,74,600
24,2,75,2300
109,40,54,2100
86,12,73,1500
101,35,77,1100
109,49,56,2900
70,15,64,1500
12,15,63,3700
82,1,65,2800
21,10,74,3100
56,13,73,200
81,38,59,2000
14,41,63,2600
49,8,68,1200
100,41,67,2800
107,2,62,2500
22,29,51,3000
101,36,70,400
54,13,50,2400
46,19,61,3300
91,9,70,500
46,48,64,1800
76,15,75,500
104,45,54,1500
14,22,70,1400
56,15,74,2300
98,5,71,100
42,14,68,1400
88,40,80,400
79,51,69,700
74,49,52,500
73,40,75,1800
55,39,63,3400
55,33,55,2500
40,44,58,2200
21,30,52,2000
36,22,62,1700
43,44,74,800
11,37,52,300
18,26,62,2200
14,28,50,4000
55,52,78,1200
44,39,53,1300
16,31,58,2400
99,5,79,600
75,11,77,3800
71,21,72,3600
43,18,63,2600
76,48,63,600
80,50,73,200
60,29,73,600
86,48,67,2400
39,20,75,300
21,35,70,1800
58,33,65,3400
108,33,64,500
67,29,62,1600
60,20,52,900
92,39,62,500
21,43,76,2700
56,50,74,1900
75,41,68,2400
53,28,68,3400
44,14,75,900
20,30,71,2500
62,6,51,600
73,16,65,600
70,42,54,4000
17,37,68,1700
10,48,62,800
42,10,66,1300
26,25,77,2000
79,3,64,1800
28,43,77,3600
77,29,52,1100
76,26,72,3100
54,51,54,800
68,43,76,3300
82,35,66,900
69,23,62,0
88,46,50,400
38,15,75,2200
52,22,63,2300
27,42,63,3900
59,2,51,1400
77,30,56,2100
90,50,60,400
12,25,61,1800
10,20,73,400
10,23,79,1500
85,18,72,0
66,37,74,200
87,13,61,2500
92,35,72,900
18,19,77,1000
103,14,78,3900
31,20,62,3200
29,15,57,200
102,3,55,2500
66,32,64,800
28,9,77,3600
43,7,51,100
15,16,78,3800
46,45,70,3700
11,29,76,500
105,23,61,2200
12,1,63,3200
26,22,55,2700
102,7,57,700
13,13,54,3400
76,52,77,4000
64,52,54,2600
75,10,53,3400
10,47,66,3300
82,29,72,3100
18,31,68,3000
46,46,72,3900
56,52,65,2000
60,13,76,0
58,20,50,3200
99,50,68,1100
73,44,57,1400
108,11,60,2200
92,45,68,3800
13,1,70,3400
60,14,57,2700
95,17,51,1400
13,49,52,1700
98,40,62,1700
12,48,76,600
102,23,64,3800
90,47,66,300
95,18,55,2900
91,37,71,700
84,13,67,3700
21,3,79,3200
87,51,52,3800
105,25,58,600
14,45,71,1800
65,49,75,800
60,31,61,2400
36,33,50,2200
45,48,62,3400
83,7,59,2600
96,7,62,3300
105,28,56,0
62,48,51,3500
53,32,67,3500
31,8,75,3300
25,16,57,2400
77,37,78,900
74,32,50,200
51,40,74,1100
23,31,50,200
47,52,66,200
59,33,70,3200
107,16,66,1800
30,45,60,2900
103,27,72,700
77,49,52,800
83,43,55,1400
79,36,61,500
26,39,57,3200
73,32,53,400
82,48,67,2100
104,5,62,3400
22,51,61,2800
34,15,76,2000
31,17,80,1300
20,30,79,1000
32,25,70,2700
38,35,62,3100
96,19,56,1800
58,50,70,3300
26,7,67,2600
109,5,63,300
71,8,53,1900
103,23,62,2800
47,39,53,3200
83,34,63,3000
62,13,52,3900
71,32,54,3400
74,5,70,1900
42,16,64,300
25,18,57,800
106,42,69,2800
32,15,57,600
75,37,50,2600
104,39,56,3500
45,31,53,2400
58,51,65,3600
17,44,54,2200
58,11,71,3400
83,40,66,3300
60,6,57,2000
16,33,74,2900
102,1,50,1800
39,43,66,0
19,49,56,3800
68,43,72,3900
64,15,60,2200
95,24,61,1900
24,43,74,3400
92,2,80,2300
78,25,67,400
27,5,56,200
26,41,72,2500
91,4,74,3000
80,9,71,3400
100,25,80,4000
84,10,64,1300
97,37,73,1300
26,36,59,3200
16,42,52,600
92,6,75,1900
23,49,66,900
83,4,55,2100
64,36,63,0
67,37,79,3500
67,30,76,2500
28,39,58,1300
85,3,71,900
60,16,69,2900
22,13,53,3700
73,25,66,0
54,42,80,1600
102,3,75,1800
21,6,69,1000
97,42,64,3300
28,50,61,3400
26,30,72,1300
29,43,76,800
76,24,65,400
58,2,67,3400
87,27,50,2800
95,12,67,600
82,16,79,2600
38,44,73,2100
23,10,70,3400
73,19,52,1100
69,40,58,600
49,38,70,1500
10,34,53,1100
67,2,70,3200
83,37,64,700
40,44,70,800
98,7,54,1300
29,18,79,1100
38,42,61,2500
27,43,68,1900
36,6,70,1900
31,26,68,2000
84,43,50,100
63,39,80,1600
61,51,63,1100
28,39,58,500
16,38,54,3200
109,1,59,300
51,14,50,3400
41,39,52,3900
12,41,53,3900
107,48,79,3200
32,24,59,1500
86,26,79,700
19,29,73,1300
30,2,61,300
67,35,56,3600
38,32,62,2500
86,40,58,400
21,6,72,4000
31,23,58,1500
78,52,63,2800
96,43,51,500
106,34,60,2400
96,35,63,3300
65,8,58,1500
41,34,76,4000
32,5,71,3600
43,7,65,3200
39,9,64,3600
35,1,58,1600
107,14,72,2800
83,38,52,1500
93,10,64,2800
76,40,79,1700
80,41,63,0
96,49,69,2300
78,42,73,1500
57,40,77,2600
28,5,51,3900
27,18,53,200
53,35,68,600
100,48,51,2700
70,45,68,3100
20,39,50,1600
72,33,73,1800
22,12,63,4000
57,11,69,2500
36,51,76,4000
29,1,80,3400
11,42,76,2000
17,46,76,1100
97,7,62,1400
106,7,59,2200
36,38,56,2200
41,8,62,2300
58,52,70,3100
51,15,55,3500
33,40,61,3100
18,15,77,3700
40,3,51,1700
96,52,50,3500
34,24,61,1700
90,12,57,600
53,1,54,100
55,34,57,1700
79,29,78,1000
21,39,63,600
48,18,54,3900
75,22,57,900
79,45,62,1100
54,25,55,2700
43,15,55,3000
41,18,55,3200
85,1,67,3200
109,14,53,1000
98,34,50,100
48,18,54,1700
15,47,57,100
60,41,54,3900
58,29,63,400
106,5,70,2000
44,25,70,1100
74,8,67,3700
55,48,74,3500
20,6,58,3400
14,37,65,2700
22,11,71,1200
30,9,68,3500
34,32,61,1500
66,19,72,500
84,2,66,3100
23,31,56,3400
102,27,80,3100
14,27,77,2300
56,39,54,2000
71,4,76,1600
57,29,55,1000
99,41,61,1200
39,3,60,100
43,47,55,3800
33,32,67,900
54,3,57,1500
76,13,57,3900
36,4,68,1500
75,50,77,900
60,43,57,2700
36,9,51,1600
61,15,75,2300
77,12,78,1100
94,40,77,3100
24,29,52,3600
97,42,57,600
20,3,59,3600
54,7,58,700
16,39,80,3100
44,42,55,3200
21,25,72,3900
74,40,65,1000
31,39,67,1800
85,39,53,3800
100,1,73,2700
70,11,56,2400
23,17,71,2300
42,28,60,2700
26,49,78,2600
102,3,78,2100
12,52,66,2900
95,36,58,2200
70,6,57,3800
62,50,67,2100
71,6,51,3700
109,35,68,3500
94,47,53,3800
102,2,57,3800
46,50,64,100
47,15,60,400
33,6,80,3400
33,22,61,500
68,50,62,3200
66,30,53,800
44,26,79,300
66,20,71,300
108,49,69,3300
92,28,78,2800
42,7,56,2400
51,48,75,2200
31,31,72,3000
20,32,66,3400
44,5,74,3400
109,11,59,1100
47,25,70,1100
74,13,62,100
104,27,79,2900
61,42,78,300
51,35,57,3100
90,45,65,2900
37,31,68,100
80,6,78,1700
27,43,76,2000
82,25,55,1600
32,12,78,900
102,16,66,2500
57,33,50,3600
96,14,68,3200
17,11,65,500
100,8,60,400
63,51,72,600
70,12,68,2500
103,44,75,1200
29,9,52,3000
61,16,56,3100
82,21,65,1600
54,21,78,3500
104,49,59,2400
86,7,76,1100
41,16,70,3800
41,29,57,2900
28,5,52,3200
91,38,66,1900
33,34,56,3800
51,52,56,600
55,27,50,1100
77,12,68,1400
16,12,80,2300
72,23,60,3000
89,2,50,1900
64,45,76,1700
69,33,51,1200
101,50,59,2500
92,4,70,3900
29,21,78,1400
47,30,74,2800
92,47,71,600
102,36,56,3400
